[2024-05-09T23:20:17.440+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_42.json
[2024-05-09T23:20:17.443+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_43.json
[2024-05-09T23:20:17.444+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_43.json
[2024-05-09T23:20:17.446+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_44.json
[2024-05-09T23:20:17.446+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_44.json
[2024-05-09T23:20:17.449+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_45.json
[2024-05-09T23:20:17.449+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_45.json
[2024-05-09T23:20:17.452+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_46.json
[2024-05-09T23:20:17.452+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_46.json
[2024-05-09T23:20:17.456+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_47.json
[2024-05-09T23:20:17.456+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_47.json
[2024-05-09T23:20:17.509+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_48.json
[2024-05-09T23:20:17.510+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_48.json
[2024-05-09T23:20:17.517+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_49.json
[2024-05-09T23:20:17.518+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_49.json
[2024-05-09T23:20:17.522+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_5.json
[2024-05-09T23:20:17.523+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_5.json
[2024-05-09T23:20:17.527+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_50.json
[2024-05-09T23:20:17.528+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_50.json
[2024-05-09T23:20:17.531+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_51.json
[2024-05-09T23:20:17.532+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_51.json
[2024-05-09T23:20:17.564+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_52.json
[2024-05-09T23:20:17.565+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_52.json
[2024-05-09T23:20:17.595+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_53.json
[2024-05-09T23:20:17.596+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_53.json
